Word,Meaning
turbulent,characterized by conflict, disorder, or confusion; not controlled or calm
trifling,of very little importance or value; trivial
tact,skill and sensitivity in dealing with others or difficult issues
repudiate,to refuse to accept or be associated with; to reject the truth or validity of
quirky,having peculiar or unexpected traits; unconventional in a charming way
precarious,not securely held or in position; dangerously likely to fall or collapse; uncertain
outstrip,to surpass or exceed in performance or amount
mordant,biting or sharply sarcastic in style; critical and harsh
meticulous,showing great attention to detail; very careful and precise
mercenary,primarily concerned with making money at the expense of ethics
irascible,easily angered; having a quick temper
impetuous,acting quickly without thought or care; impulsive
impede,to delay or prevent by obstructing; hinder
hodgepodge,a confused mixture or jumble
haphazard,lacking any obvious organization; random
forbear,to refrain or hold back from something, especially with self-control
felicitous,well-chosen or suited to the circumstances; pleasingly expressed
feeble,lacking physical strength, energy, or effectiveness
fecund,capable of producing many new ideas, offspring, or growth; fertile
erudite,having or showing great knowledge or learning
elicit,to draw out a response, reaction, or fact from someone
edify,to instruct or improve someone morally or intellectually
dichotomy,a division or contrast between two things that are represented as being opposed or entirely different
deleterious,causing harm or damage
cordial,warm and friendly
commensurate,corresponding in size, degree, or extent; proportional
comity,mutual courtesy and considerate behavior; friendly social atmosphere
circumspect,cautious and unwilling to take risks; prudent
brook,to tolerate or allow something (often used in the negative, e.g., “will not brook dissent”)
boorish,rough and bad-mannered; rude and insensitive
